id,province,newspaper,newspaper_url
55,ANTALYA,Kemer Gözcü,https://www.bik.gov.tr/yerel-gazeteler/antalya/tumu/kemer-gozcu/
56,ANTALYA,Korkuteli Gündem,https://www.bik.gov.tr/yerel-gazeteler/antalya/tumu/korkuteli-gundem/
57,ANTALYA,Manavgat'ın Sesi,https://www.bik.gov.tr/yerel-gazeteler/antalya/tumu/manavgat-in-sesi/
58,ANTALYA,Yeni Alanya,https://www.bik.gov.tr/yerel-gazeteler/antalya/tumu/yeni-alanya/
59,ARDAHAN,23 Şubat,https://www.bik.gov.tr/yerel-gazeteler/ardahan/tumu/23-subat/
60,ARDAHAN,Göle Haber,https://www.bik.gov.tr/yerel-gazeteler/ardahan/tumu/gole-haber/
61,ARDAHAN,Hudut,https://www.bik.gov.tr/yerel-gazeteler/ardahan/tumu/hudut/
62,ARTVİN,7 Mart,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/7-mart/
63,ARTVİN,Arhavi Postası,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/arhavi-postasi/
64,ARTVİN,Artvin Ardanuç,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/artvin-ardanuc/
65,ARTVİN,Artvin'in Sesi,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/artvin-in-sesi/
66,ARTVİN,Demokrat Çoruh,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/demokrat-coruh/
67,ARTVİN,Dost Artvin,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/dost-artvin/
68,ARTVİN,Kafkas Sarp Haber,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/kafkas-sarp-haber/
69,ARTVİN,Serhad Artvin,https://www.bik.gov.tr/yerel-gazeteler/artvin/tumu/serhad-artvin/
70,AYDIN,Denge,https://www.bik.gov.tr/yerel-gazeteler/aydin/tumu/denge/
71,AYDIN,Hedef,https://www.bik.gov.tr/yerel-gazeteler/aydin/tumu/hedef/
72,AYDIN,Manşet Aydın,https://www.bik.gov.tr/yerel-gazeteler/aydin/tumu/manset-aydin/
73,AYDIN,Ses,https://www.bik.gov.tr/yerel-gazeteler/aydin/tumu/ses/
